Employee_ID,Tasks_Assigned,Tasks_Completed,Context_Switches_Per_Day,Avg_Uninterrupted_Work_Mins,Standard_Hours_Logged,After_Hours_Mins,Missed_Deadlines,Burnout_Risk_Score
EMP00050,11,9,24,25,39.2,207,1,100
EMP00051,11,9,4,85,41.5,52,0,14
EMP00052,31,25,8,49,37.5,99,0,41
EMP00053,31,27,13,52,35.3,190,2,73
EMP00054,10,9,2,83,43.9,7,1,14
EMP00055,43,42,5,75,43.9,46,0,15
EMP00056,44,36,12,57,42.7,174,2,68
EMP00057,34,33,6,90,44.5,38,0,17
EMP00058,16,13,7,106,43.6,43,1,22
EMP00059,23,18,8,44,44.2,73,2,60
EMP00060,26,23,5,66,41.2,58,0,18
EMP00061,30,28,3,105,43.6,8,1,17
EMP00062,44,40,6,73,40.2,16,0,17
EMP00063,15,13,6,110,44.8,12,0,15
EMP00064,28,23,20,27,44.7,519,1,100
EMP00065,26,23,4,101,42.3,13,0,12
EMP00066,41,28,20,26,39.8,235,2,100
EMP00067,37,30,10,47,43.2,83,0,46
EMP00068,13,11,6,88,36.0,46,1,20
EMP00069,30,24,18,27,41.1,480,3,100
EMP00070,32,28,9,62,38.2,176,1,46
EMP00071,29,26,11,55,38.3,134,2,60
EMP00072,34,27,14,67,36.8,104,1,54
EMP00073,36,33,12,67,39.6,121,2,57
EMP00074,38,35,2,89,39.0,19,0,8
EMP00075,12,11,2,114,42.7,39,1,17
EMP00076,20,17,12,41,42.8,68,2,69
EMP00077,44,41,6,79,38.2,44,1,25
EMP00078,19,15,16,15,37.6,564,3,100
EMP00079,32,31,7,69,35.6,48,1,29
EMP00080,47,37,9,57,39.0,153,1,52
EMP00081,33,32,7,88,38.3,46,0,20
EMP00082,39,29,19,15,44.2,237,4,100
EMP00083,15,10,25,19,37.9,231,4,100
EMP00084,37,31,10,69,44.9,67,2,50
EMP00085,20,15,13,44,39.2,190,2,74
EMP00086,41,37,10,51,40.9,115,2,61
EMP00087,28,23,12,47,38.0,73,2,66
EMP00088,36,35,2,65,35.3,57,0,10
EMP00089,45,40,13,60,38.0,137,2,62
EMP00090,24,23,3,83,40.5,59,0,12
EMP00091,19,16,15,65,39.9,148,2,65
EMP00092,29,27,7,116,38.6,35,0,19
EMP00093,39,36,9,53,42.0,69,2,52
EMP00094,33,31,3,66,41.8,48,1,21
EMP00095,10,8,8,60,39.9,146,0,41
EMP00096,47,36,19,28,44.4,504,2,100
EMP00097,12,8,18,26,44.2,324,4,100
EMP00098,11,9,5,83,39.6,25,0,14
EMP00099,40,29,19,21,42.3,509,3,100
EMP00100,27,24,10,49,36.8,188,2,68
EMP00101,12,10,25,29,43.1,272,1,100
EMP00102,28,23,21,28,39.2,405,5,100
EMP00103,22,17,18,19,36.6,440,4,100
EMP00104,47,41,6,110,35.6,14,0,19
EMP00105,17,11,23,25,42.0,338,3,100
EMP00106,20,15,11,54,43.3,175,0,48
EMP00107,18,12,20,15,36.2,562,1,100
EMP00108,48,45,8,64,43.5,99,0,41
EMP00109,11,8,12,40,42.6,81,0,53
EMP00110,25,19,19,15,37.1,493,5,100
EMP00111,40,38,4,100,40.3,13,1,20
EMP00112,44,42,5,85,35.5,40,1,25
EMP00113,20,18,3,82,38.5,3,0,8
EMP00114,36,28,13,51,35.4,163,0,56
EMP00115,13,9,25,26,38.6,367,1,100
EMP00116,45,38,20,20,41.5,340,5,100
EMP00117,12,9,14,56,37.1,98,0,45
EMP00118,50,43,3,113,40.4,50,0,16
EMP00119,46,35,22,17,42.2,595,5,100
EMP00120,45,40,10,68,39.3,127,1,45
EMP00121,19,12,20,17,38.7,550,3,100
EMP00122,11,10,12,68,35.5,160,1,49
EMP00123,25,24,4,95,39.5,3,1,18
EMP00124,37,36,4,86,39.4,48,0,13
EMP00125,22,16,12,67,41.3,76,1,46
EMP00126,29,20,24,19,42.1,401,4,100
EMP00127,40,31,18,17,44.5,567,2,100
EMP00128,37,31,7,112,37.0,15,0,21
EMP00129,14,9,16,27,41.5,409,5,100
EMP00130,15,12,11,50,39.2,146,2,66
EMP00131,10,8,23,21,38.9,234,3,100
EMP00132,34,23,16,28,38.5,521,1,100
EMP00133,33,31,6,106,43.1,1,0,14
EMP00134,43,37,6,108,35.4,35,0,20
EMP00135,50,36,19,24,36.3,348,3,100
EMP00136,39,26,17,30,42.2,219,1,100
EMP00137,31,25,19,28,37.3,370,5,100
EMP00138,36,27,15,63,35.5,200,0,57
EMP00139,26,25,6,118,43.6,38,0,17
EMP00140,26,22,7,65,35.9,26,1,29
EMP00141,49,43,7,89,40.1,32,1,31
EMP00142,14,13,10,51,38.0,137,2,60
EMP00143,49,36,12,70,43.3,94,1,53
EMP00144,32,31,4,106,42.5,9,0,10
EMP00145,17,13,8,58,35.1,196,1,48
EMP00146,34,29,6,76,40.8,36,0,20
EMP00147,21,15,20,19,41.6,323,1,100
EMP00148,19,18,5,65,37.6,55,1,25
EMP00149,41,38,4,115,44.3,53,0,15
EMP00150,23,18,18,22,37.5,489,4,100
EMP00151,36,27,13,58,45.0,132,2,66
EMP00152,24,18,9,67,44.5,136,1,45
EMP00153,47,40,11,65,42.8,193,2,64
EMP00154,13,10,23,17,40.5,232,5,100
EMP00155,49,41,21,17,39.5,586,3,100
EMP00156,46,42,5,78,42.4,12,1,24
EMP00157,32,25,13,58,42.1,163,2,67
EMP00158,33,25,15,48,38.7,200,0,67
EMP00159,12,10,7,107,36.0,52,0,21
EMP00160,32,26,8,66,44.3,89,2,47
EMP00161,42,41,6,89,39.3,33,1,25
EMP00162,42,29,25,29,42.5,567,3,100
EMP00163,17,14,6,65,43.1,22,1,26
EMP00164,41,40,4,120,38.1,19,0,11
EMP00165,29,25,11,50,42.7,101,0,44
EMP00166,26,23,10,47,35.6,157,2,67
EMP00167,31,25,8,66,35.3,174,2,55
EMP00168,43,38,6,104,42.2,47,0,21
EMP00169,27,20,18,27,41.2,561,3,100
EMP00170,25,23,6,90,38.4,45,1,27
EMP00171,10,6,17,16,43.9,236,4,100
EMP00172,31,27,6,103,42.4,26,1,27
EMP00173,19,13,20,16,39.7,532,4,100
EMP00174,40,35,2,116,40.2,18,0,9
EMP00175,18,17,6,85,38.6,16,0,15
EMP00176,13,10,21,18,39.9,563,5,100
EMP00177,49,33,25,21,37.4,546,2,100
EMP00178,24,16,19,22,43.4,491,1,100
EMP00179,25,24,2,85,37.3,3,1,14
EMP00180,30,28,2,73,37.8,15,0,7
EMP00181,38,29,14,53,36.3,149,2,74
EMP00182,24,18,13,54,41.0,184,1,63
EMP00183,39,27,21,23,43.8,324,5,100
EMP00184,35,29,12,49,35.1,169,0,55
EMP00185,33,30,9,63,39.0,199,2,57
EMP00186,26,24,4,109,44.0,38,0,13
EMP00187,50,40,18,20,41.7,476,2,100
EMP00188,33,22,20,25,40.8,449,1,100
EMP00189,35,31,14,51,40.3,81,0,48
EMP00190,47,43,8,67,37.7,159,2,52
EMP00191,32,31,6,81,35.1,25,0,16
EMP00192,38,27,23,15,42.2,323,4,100
EMP00193,23,19,13,42,42.3,130,2,74
EMP00194,34,25,16,15,35.4,319,3,100
EMP00195,43,38,3,78,43.4,18,0,12
EMP00196,40,33,14,70,40.4,187,0,52
EMP00197,31,26,8,69,44.8,150,2,52
EMP00198,40,35,13,46,35.1,158,0,58
EMP00199,10,7,15,44,38.4,114,2,74
EMP00200,42,36,7,76,41.3,18,1,25
EMP00201,35,29,13,52,36.3,163,1,63
EMP00202,17,12,17,19,44.2,266,2,100
EMP00203,22,17,13,41,40.3,61,2,72
EMP00204,24,18,19,19,40.8,213,1,100
EMP00205,19,16,6,85,44.2,13,1,25
EMP00206,24,22,13,54,42.9,198,1,61
EMP00207,27,24,14,58,42.4,180,2,68
EMP00208,45,43,3,103,42.5,48,0,12
EMP00209,32,29,11,68,38.5,168,0,41
EMP00210,26,17,24,16,41.0,598,4,100
EMP00211,47,45,7,107,39.8,23,0,18
EMP00212,40,30,15,65,42.8,196,0,57
EMP00213,13,11,4,84,42.9,25,1,21
EMP00214,45,44,6,111,38.0,53,0,18
EMP00215,27,17,19,29,38.1,336,2,100
EMP00216,43,28,17,29,39.3,221,1,100
EMP00217,45,40,11,67,44.8,64,0,41
EMP00218,48,42,12,58,36.4,127,2,61
EMP00219,22,20,10,57,40.2,145,0,41
EMP00220,27,25,3,96,40.4,7,1,17
EMP00221,36,28,8,54,44.8,151,1,51
EMP00222,15,12,23,26,43.8,503,4,100
EMP00223,48,41,5,119,44.3,50,1,29
EMP00224,16,15,11,56,43.8,140,2,58
EMP00225,23,17,18,18,35.5,350,5,100
EMP00226,42,31,14,68,36.8,189,2,73
EMP00227,16,15,7,102,44.2,45,1,24
EMP00228,47,39,18,22,40.2,257,1,100
EMP00229,26,24,2,82,42.0,28,0,8
EMP00230,33,26,11,68,42.0,171,0,44
EMP00231,14,12,5,69,37.7,22,1,23
EMP00232,26,17,17,26,37.3,555,5,100
EMP00233,23,17,13,65,36.1,61,1,47
EMP00234,45,34,10,59,40.6,88,1,48
EMP00235,47,37,15,68,40.0,165,1,64
EMP00236,40,28,23,16,39.6,374,5,100
EMP00237,30,27,5,83,35.1,17,1,23
EMP00238,40,28,25,16,40.4,482,2,100
EMP00239,43,29,20,28,40.4,260,2,100
EMP00240,14,11,7,119,38.2,34,0,20
EMP00241,32,26,13,65,40.0,192,2,67
EMP00242,39,33,9,57,35.1,185,2,61
EMP00243,24,19,22,16,39.4,275,2,100
EMP00244,17,15,3,110,39.5,57,0,13
EMP00245,28,19,22,16,41.9,327,3,100
EMP00246,12,9,8,66,44.7,128,0,41
EMP00247,12,9,10,56,35.7,71,2,52
EMP00248,31,21,22,25,43.7,230,1,100
EMP00249,38,35,7,99,44.0,55,0,22
EMP00250,38,28,19,21,39.1,544,3,100
EMP00251,37,32,6,116,37.8,21,0,18
EMP00252,18,17,2,66,39.8,60,1,19
EMP00253,26,24,5,119,38.8,51,0,16
EMP00254,33,22,24,27,43.4,256,1,100
EMP00255,27,22,13,65,41.7,173,0,47
EMP00256,34,32,2,98,43.6,27,1,17
EMP00257,48,44,10,50,36.3,154,2,65
EMP00258,49,42,3,104,43.7,57,1,26
EMP00259,46,45,7,98,43.6,16,1,26
EMP00260,10,9,13,58,38.3,64,2,54
EMP00261,34,32,2,87,38.2,43,0,9
EMP00262,50,43,11,56,35.7,128,2,62
EMP00263,13,10,25,29,35.7,497,2,100
EMP00264,35,27,14,70,35.4,108,0,46
EMP00265,17,16,6,69,35.1,33,0,16
EMP00266,36,35,4,117,36.2,6,1,19
EMP00267,28,18,18,27,40.9,433,1,100
EMP00268,22,20,13,41,42.9,172,0,61
EMP00269,12,11,7,85,38.7,19,0,17
EMP00270,47,41,2,75,41.1,13,1,19
EMP00271,13,10,17,15,36.0,409,1,100
EMP00272,29,27,4,112,36.7,9,0,11
EMP00273,18,15,6,86,43.1,33,0,18
EMP00274,43,32,15,48,41.0,159,1,74
EMP00275,15,14,6,73,37.3,36,0,17
EMP00276,49,37,16,29,37.4,316,5,100
EMP00277,31,30,5,117,35.9,26,1,23
EMP00278,43,32,18,21,42.0,351,4,100
EMP00279,32,27,6,104,36.0,48,0,21
EMP00280,11,9,9,57,36.2,83,0,41
EMP00281,10,9,7,112,40.3,42,1,21
EMP00282,39,33,25,16,38.7,486,1,100
EMP00283,40,37,5,111,38.0,41,0,16
EMP00284,29,25,3,76,40.7,44,0,13
EMP00285,31,26,14,56,38.6,123,2,66
EMP00286,41,28,19,25,45.0,474,2,100
EMP00287,24,22,4,67,43.3,42,0,13
EMP00288,44,39,2,110,38.2,60,0,13
EMP00289,21,17,15,61,42.0,95,0,44
EMP00290,34,28,13,40,38.0,100,1,68
EMP00291,17,12,15,50,37.4,151,0,58
EMP00292,30,20,19,27,41.0,205,4,100
EMP00293,13,8,22,20,43.8,328,3,100
EMP00294,13,10,10,46,40.4,181,0,52
EMP00295,33,32,2,66,43.2,60,0,10
EMP00296,13,12,11,64,40.5,86,0,41
EMP00297,48,31,17,19,38.9,596,1,100
EMP00298,27,25,8,63,41.8,144,1,41
EMP00299,49,44,6,86,35.4,45,1,27
EMP00300,49,38,12,51,42.2,78,0,49
EMP00301,23,15,22,19,37.3,505,1,100
EMP00302,42,36,2,75,40.5,26,1,20
EMP00303,40,26,21,20,44.8,493,1,100
EMP00304,33,27,22,15,38.9,596,4,100
EMP00305,12,8,16,20,43.7,421,4,100
EMP00306,47,46,6,94,41.7,12,1,22
EMP00307,33,21,23,27,37.1,549,4,100
EMP00308,50,46,6,90,40.0,18,0,17
EMP00309,19,15,19,16,36.0,311,3,100
EMP00310,26,20,22,22,36.0,309,3,100
EMP00311,12,10,19,22,41.4,541,1,100
EMP00312,15,11,8,57,44.9,140,2,53
EMP00313,33,24,22,15,37.1,284,3,100
EMP00314,25,23,14,69,38.3,124,1,51
EMP00315,24,19,21,26,44.8,262,3,100
EMP00316,14,11,17,21,40.5,448,1,100
EMP00317,49,42,15,64,36.7,157,1,60
EMP00318,21,17,20,20,39.8,352,2,100
EMP00319,18,15,17,25,41.6,463,4,100
EMP00320,33,22,25,27,41.4,403,3,100
EMP00321,13,10,23,17,44.2,390,5,100
EMP00322,11,9,10,51,44.3,167,1,54
EMP00323,39,38,5,91,37.5,51,1,22
EMP00324,24,16,17,22,42.2,434,2,100
EMP00325,23,17,13,51,43.0,154,0,54
EMP00326,39,34,10,47,42.3,103,0,46
EMP00327,21,18,5,74,35.7,15,1,22
EMP00328,12,10,8,48,40.3,100,0,41
EMP00329,28,19,21,26,35.5,499,1,100
EMP00330,24,20,15,54,37.4,126,2,70
EMP00331,24,19,10,64,42.7,154,0,41
EMP00332,12,9,14,56,36.9,147,2,67
EMP00333,10,6,22,15,37.1,462,1,100
EMP00334,29,26,5,77,38.3,43,0,17
EMP00335,34,31,9,41,41.6,92,2,65
EMP00336,28,23,9,50,40.8,192,2,67
EMP00337,41,37,6,65,36.5,34,0,19
EMP00338,36,28,16,20,36.6,306,5,100
EMP00339,33,25,8,60,35.6,159,2,55
EMP00340,31,27,8,47,37.3,113,2,60
EMP00341,29,24,15,60,41.9,62,2,60
EMP00342,29,27,2,119,37.3,47,0,9
EMP00343,12,10,5,102,39.9,8,1,22
EMP00344,33,26,22,21,38.2,359,5,100
EMP00345,30,22,16,30,40.9,485,5,100
EMP00346,22,19,9,60,36.0,100,2,48
EMP00347,47,42,10,55,40.0,140,2,60
EMP00348,48,36,11,53,43.3,185,0,55
EMP00349,32,26,21,28,41.8,261,1,100
EMP00350,25,22,2,84,38.1,34,1,18
EMP00351,35,34,7,75,35.5,18,1,26
EMP00352,11,7,21,15,42.5,312,5,100
EMP00353,38,34,10,53,41.7,70,0,41
EMP00354,45,41,9,62,38.0,101,0,41
EMP00355,45,44,3,70,41.1,24,1,18
EMP00356,50,44,7,95,35.8,37,0,23
EMP00357,31,22,20,26,41.2,452,4,100
EMP00358,17,13,8,65,35.2,79,2,45
EMP00359,34,29,7,101,35.1,0,0,19
EMP00360,17,12,13,47,37.6,184,2,74
EMP00361,49,41,11,45,37.9,197,2,74
EMP00362,22,18,15,49,41.7,106,1,64
EMP00363,19,15,10,65,41.3,101,1,42
EMP00364,27,25,7,101,41.2,38,1,29
EMP00365,34,22,23,30,39.4,591,4,100
EMP00366,32,23,23,30,36.3,213,5,100
EMP00367,45,42,8,44,35.4,109,0,43
EMP00368,14,9,22,22,43.9,205,4,100
EMP00369,39,37,4,85,41.0,57,0,15
EMP00370,25,21,13,70,44.0,153,0,44
EMP00371,20,15,15,46,35.8,123,2,74
EMP00372,13,10,12,44,37.4,171,0,57
EMP00373,42,27,17,16,39.5,557,3,100
EMP00374,21,19,5,101,35.8,34,0,15
EMP00375,27,22,22,18,42.3,377,1,100
EMP00376,30,24,23,19,43.5,481,1,100
EMP00377,42,31,25,24,36.9,216,4,100
EMP00378,18,16,12,44,37.5,170,1,65
EMP00379,15,14,6,75,36.6,50,0,18
EMP00380,11,9,6,86,36.5,11,0,15
EMP00381,19,14,19,19,39.8,599,3,100
EMP00382,34,33,7,82,37.0,17,0,17
EMP00383,20,13,21,22,44.4,221,1,100
EMP00384,50,43,2,120,35.5,51,1,20
EMP00385,33,28,13,68,42.5,68,2,56
EMP00386,28,24,8,50,36.8,102,2,56
EMP00387,39,34,14,60,37.7,132,0,46
EMP00388,28,19,22,18,37.0,509,4,100
EMP00389,36,35,6,82,44.3,4,0,14
EMP00390,45,44,4,97,42.8,34,0,12
EMP00391,42,41,3,65,43.2,20,0,9
EMP00392,33,24,21,28,44.4,555,1,100
EMP00393,28,26,6,88,44.4,49,0,18
EMP00394,20,13,23,27,40.9,449,3,100
EMP00395,40,26,22,25,43.1,320,5,100
EMP00396,15,12,18,24,36.3,496,3,100
EMP00397,34,33,5,65,35.5,22,1,22
EMP00398,26,20,19,15,42.7,204,1,100
EMP00399,32,25,16,21,36.9,543,5,100
EMP00400,34,23,21,26,37.7,430,5,100
EMP00401,18,14,25,25,40.3,596,4,100
EMP00402,41,30,18,28,43.8,424,3,100
EMP00403,14,12,8,53,40.3,191,2,59
EMP00404,37,29,11,48,39.4,90,1,58
EMP00405,16,14,4,101,42.3,8,1,20
EMP00406,20,17,10,67,35.4,167,1,47
EMP00407,27,20,15,60,36.8,134,1,58
EMP00408,24,17,17,30,44.3,584,5,100
EMP00409,28,23,2,69,42.5,44,1,21
EMP00410,40,33,16,30,42.3,524,4,100
EMP00411,34,31,3,107,37.6,38,1,21
EMP00412,29,24,8,55,42.8,168,2,58
EMP00413,18,12,21,21,36.2,265,4,100
EMP00414,40,35,13,64,38.0,175,0,47
EMP00415,27,22,13,60,37.7,131,2,61
EMP00416,30,29,3,72,38.3,34,0,10
EMP00417,32,25,20,20,41.9,371,3,100
EMP00418,32,30,7,103,41.7,49,1,26
EMP00419,30,27,4,89,44.1,57,0,16
EMP00420,13,9,23,21,42.8,349,1,100
EMP00421,28,21,17,22,38.7,313,5,100
EMP00422,37,36,3,91,36.3,30,0,9
EMP00423,15,14,3,78,44.9,58,0,12
EMP00424,29,26,2,120,43.5,15,0,8
EMP00425,16,15,6,97,40.3,46,1,23
EMP00426,36,23,19,15,35.2,405,3,100
EMP00427,29,21,16,25,37.7,401,3,100
EMP00428,39,34,11,52,38.5,83,0,42
EMP00429,12,9,18,19,42.9,384,5,100
EMP00430,47,37,21,18,44.3,524,3,100
EMP00431,36,33,5,83,37.2,2,0,13
EMP00432,18,13,20,26,44.3,364,2,100
EMP00433,34,22,16,26,36.6,287,2,100
EMP00434,29,20,18,23,36.0,298,4,100
EMP00435,15,11,19,21,35.8,523,1,100
EMP00436,28,19,18,27,36.6,386,3,100
EMP00437,15,12,8,57,41.9,174,2,55
EMP00438,22,19,3,93,37.6,19,1,19
EMP00439,29,24,10,47,36.4,136,2,67
EMP00440,44,28,24,23,37.2,567,1,100
EMP00441,25,16,17,18,37.0,217,3,100
EMP00442,17,12,21,26,43.2,288,4,100
EMP00443,34,27,9,57,40.4,105,0,41
EMP00444,39,31,14,44,37.1,124,2,74
EMP00445,40,30,11,57,44.7,140,1,55
EMP00446,29,19,20,24,42.6,584,3,100
EMP00447,40,26,23,17,35.9,207,1,100
EMP00448,50,41,12,60,39.5,178,0,48
EMP00449,40,31,14,65,40.3,75,0,44
EMP00450,49,42,2,67,44.5,57,0,14
EMP00451,11,9,2,85,38.8,55,0,10
EMP00452,23,19,13,66,38.8,173,0,46
EMP00453,49,43,7,118,43.6,2,0,20
EMP00454,41,34,24,19,35.5,331,1,100
EMP00455,46,40,15,61,37.0,135,1,58
EMP00456,36,29,13,64,36.0,66,0,41
EMP00457,15,10,24,23,36.1,562,1,100
EMP00458,47,40,3,114,40.0,10,0,13
EMP00459,16,14,2,114,38.8,29,1,17
EMP00460,26,23,6,96,37.6,2,0,15
EMP00461,42,28,23,30,40.5,458,3,100
EMP00462,50,42,7,112,41.9,7,1,24
EMP00463,14,13,5,109,35.1,38,1,23
EMP00464,22,18,12,64,36.7,123,1,49
EMP00465,48,45,9,68,40.4,101,2,48
EMP00466,10,9,7,119,42.6,7,1,25
EMP00467,24,19,14,65,42.3,86,1,51
EMP00468,14,12,2,75,43.6,13,1,16
EMP00469,25,20,25,22,44.7,562,4,100
EMP00470,29,24,6,70,40.8,3,0,17
EMP00471,17,13,12,59,35.6,81,0,41
EMP00472,47,43,5,73,42.9,18,1,24
EMP00473,41,32,9,43,41.2,101,2,68
EMP00474,50,47,3,102,44.6,55,1,22
EMP00475,30,23,13,58,38.8,80,2,60
EMP00476,32,26,19,30,39.5,205,2,100
EMP00477,23,20,7,110,41.9,36,0,20
EMP00478,32,24,15,59,42.8,181,1,64
EMP00479,31,21,25,27,42.1,209,5,100
EMP00480,34,31,9,48,37.5,68,2,56
EMP00481,40,39,7,118,41.7,50,0,20
EMP00482,17,13,16,30,35.6,389,4,100
EMP00483,35,27,22,19,36.7,366,4,100
EMP00484,37,31,7,78,38.9,15,0,21
EMP00485,21,17,12,52,40.6,112,2,64
EMP00486,38,32,12,40,37.6,89,0,56
EMP00487,47,45,3,104,40.1,5,0,8
EMP00488,44,36,25,18,44.1,393,2,100
EMP00489,48,37,17,16,40.7,371,2,100
EMP00490,45,42,8,58,43.4,93,2,47
EMP00491,23,18,12,57,41.4,103,0,41
EMP00492,17,13,15,60,43.0,93,1,53
EMP00493,16,14,5,77,38.2,20,1,23
EMP00494,49,40,21,22,37.6,411,4,100
EMP00495,16,13,15,64,44.5,186,0,51
EMP00496,26,17,23,18,36.3,498,2,100
EMP00497,26,21,9,49,36.8,195,0,50
EMP00498,22,21,4,72,44.8,7,1,19
EMP00499,36,32,12,41,44.6,175,2,74
EMP00500,33,31,7,111,36.8,39,0,20
EMP00501,23,21,3,87,40.7,22,0,10
EMP00502,34,33,3,114,40.0,11,1,17
EMP00503,27,23,10,53,37.3,68,1,46
EMP00504,13,10,25,19,37.7,395,1,100
EMP00505,32,24,15,40,41.7,145,2,74
EMP00506,10,6,20,21,44.6,302,3,100
EMP00507,37,33,10,46,41.7,163,2,69
EMP00508,42,38,7,67,39.1,55,1,26
EMP00509,23,20,8,40,42.8,183,2,71
EMP00510,23,19,12,49,45.0,158,1,61
EMP00511,35,32,11,63,39.8,174,0,41
EMP00512,41,27,18,17,39.8,360,3,100
EMP00513,27,18,23,18,43.1,503,1,100
EMP00514,21,14,19,22,38.9,257,4,100
EMP00515,26,20,20,28,38.1,515,2,100
EMP00516,19,16,15,53,40.6,155,1,63
EMP00517,42,41,7,79,39.7,2,1,25
EMP00518,23,21,7,111,37.5,39,0,20
EMP00519,34,31,8,54,43.0,79,1,41
EMP00520,24,19,14,63,36.2,194,2,69
EMP00521,12,10,15,56,44.0,137,0,49
EMP00522,14,9,20,29,44.5,219,2,100
EMP00523,15,11,21,29,38.3,416,2,100
EMP00524,21,20,5,93,39.1,29,0,14
EMP00525,49,40,18,21,40.1,328,3,100
EMP00526,49,44,3,119,35.4,42,1,23
EMP00527,43,41,3,83,40.0,19,0,9
EMP00528,16,11,25,17,36.8,434,3,100
EMP00529,24,23,3,95,39.2,48,0,11
EMP00530,47,35,20,15,39.5,419,3,100
EMP00531,10,9,2,86,42.1,21,1,15
EMP00532,23,18,10,65,37.8,176,1,49
EMP00533,15,13,15,41,39.9,64,0,57
EMP00534,40,26,25,15,40.1,213,2,100
EMP00535,38,29,22,17,38.5,538,5,100
EMP00536,32,25,18,16,39.7,523,5,100
EMP00537,15,11,24,18,36.0,298,3,100
EMP00538,50,39,17,16,35.1,269,5,100
EMP00539,46,43,6,100,42.6,30,0,18
EMP00540,11,8,21,15,44.9,575,2,100
EMP00541,31,28,10,58,37.5,182,1,50
EMP00542,27,24,9,58,39.5,180,1,48
EMP00543,37,36,6,73,39.3,37,1,25
EMP00544,34,33,3,73,40.6,34,1,19
EMP00545,25,22,7,83,36.9,27,1,21
EMP00546,42,28,21,25,39.8,564,5,100
EMP00547,50,34,20,26,44.6,531,5,100
EMP00548,13,11,9,68,37.5,115,2,49
EMP00549,36,33,6,95,42.6,49,1,24
EMP00550,35,27,17,26,35.5,324,4,100
EMP00551,24,22,2,65,37.1,16,0,7
EMP00552,41,32,16,29,39.3,283,2,100
EMP00553,47,39,20,27,41.7,308,2,100
EMP00554,39,36,8,47,44.9,102,0,41
EMP00555,39,28,21,20,44.3,321,5,100
EMP00556,21,16,13,66,40.0,167,0,46
EMP00557,25,24,2,85,41.2,22,0,7
EMP00558,46,37,20,20,43.8,358,4,100
EMP00559,33,23,20,27,35.2,366,1,100
EMP00560,38,32,6,89,44.8,2,1,27
EMP00561,29,26,3,111,42.0,41,1,21
EMP00562,38,29,21,24,36.2,381,1,100
EMP00563,22,19,11,58,43.4,151,0,41
EMP00564,14,11,13,69,37.8,116,0,41
EMP00565,30,22,19,20,35.9,496,3,100
EMP00566,15,11,17,15,41.3,581,1,100
EMP00567,26,21,18,22,43.4,278,4,100
EMP00568,24,15,25,26,37.4,313,1,100
EMP00569,37,34,12,55,42.1,108,1,51
EMP00570,10,9,6,97,42.7,27,1,25
EMP00571,46,40,14,57,40.8,89,0,45
EMP00572,28,20,19,22,41.0,439,1,100
EMP00573,38,26,23,30,42.4,381,2,100
EMP00574,49,36,20,23,38.7,455,1,100
